Airport,Year,Month,Domestic,Date
All Australian Airports,2009 ,1 ,8316460,Jan 1 2009
All Australian Airports,2009 ,2 ,7238300,Feb 1 2009
All Australian Airports,2009 ,3 ,8319008,Mar 1 2009
All Australian Airports,2009 ,4 ,8275542,Apr 1 2009
All Australian Airports,2009 ,5 ,7876608,May 1 2009
All Australian Airports,2009 ,6 ,7582058,Jun 1 2009
All Australian Airports,2009 ,7 ,8552960,Jul 1 2009
All Australian Airports,2009 ,8 ,8396528,Aug 1 2009
All Australian Airports,2009 ,9 ,8521298,Sep 1 2009
All Australian Airports,2009 ,10 ,8999378,Oct 1 2009
All Australian Airports,2009 ,11 ,8533590,Nov 1 2009
All Australian Airports,2009 ,12 ,8420754,Dec 1 2009
All Australian Airports,2010 ,1 ,8173156,Jan 1 2010
All Australian Airports,2010 ,2 ,7824536,Feb 1 2010
All Australian Airports,2010 ,3 ,8819138,Mar 1 2010
All Australian Airports,2010 ,4 ,8705966,Apr 1 2010
All Australian Airports,2010 ,5 ,8309884,May 1 2010
All Australian Airports,2010 ,6 ,8319146,Jun 1 2010
All Australian Airports,2010 ,7 ,9269406,Jul 1 2010
All Australian Airports,2010 ,8 ,9042792,Aug 1 2010
All Australian Airports,2010 ,9 ,9230406,Sep 1 2010
All Australian Airports,2010 ,10 ,9666708,Oct 1 2010
All Australian Airports,2010 ,11 ,9200944,Nov 1 2010
All Australian Airports,2010 ,12 ,9386802,Dec 1 2010
All Australian Airports,2011 ,1 ,8776680,Jan 1 2011
All Australian Airports,2011 ,2 ,7848878,Feb 1 2011
All Australian Airports,2011 ,3 ,9073826,Mar 1 2011
All Australian Airports,2011 ,4 ,9053532,Apr 1 2011
All Australian Airports,2011 ,5 ,8760598,May 1 2011
All Australian Airports,2011 ,6 ,8192172,Jun 1 2011
All Australian Airports,2011 ,7 ,9372164,Jul 1 2011
All Australian Airports,2011 ,8 ,9104794,Aug 1 2011
All Australian Airports,2011 ,9 ,9098810,Sep 1 2011
All Australian Airports,2011 ,10 ,9387574,Oct 1 2011
All Australian Airports,2011 ,11 ,9159426,Nov 1 2011
All Australian Airports,2011 ,12 ,9114926,Dec 1 2011
All Australian Airports,2012 ,1 ,8949236,Jan 1 2012
All Australian Airports,2012 ,2 ,8246010,Feb 1 2012
All Australian Airports,2012 ,3 ,9310388,Mar 1 2012
All Australian Airports,2012 ,4 ,9063054,Apr 1 2012
All Australian Airports,2012 ,5 ,8925564,May 1 2012
All Australian Airports,2012 ,6 ,8716032,Jun 1 2012
All Australian Airports,2012 ,7 ,9683028,Jul 1 2012
All Australian Airports,2012 ,8 ,9513302,Aug 1 2012
All Australian Airports,2012 ,9 ,9580010,Sep 1 2012
All Australian Airports,2012 ,10 ,10083250,Oct 1 2012
All Australian Airports,2012 ,11 ,9802094,Nov 1 2012
All Australian Airports,2012 ,12 ,9496176,Dec 1 2012
All Australian Airports,2013 ,1 ,9262216,Jan 1 2013
All Australian Airports,2013 ,2 ,8263576,Feb 1 2013
All Australian Airports,2013 ,3 ,9454906,Mar 1 2013
All Australian Airports,2013 ,4 ,9464424,Apr 1 2013
All Australian Airports,2013 ,5 ,9014244,May 1 2013
All Australian Airports,2013 ,6 ,8877498,Jun 1 2013
All Australian Airports,2013 ,7 ,10112812,Jul 1 2013
All Australian Airports,2013 ,8 ,9699068,Aug 1 2013
All Australian Airports,2013 ,9 ,9585466,Sep 1 2013
All Australian Airports,2013 ,10 ,10368020,Oct 1 2013
All Australian Airports,2013 ,11 ,9620248,Nov 1 2013
All Australian Airports,2013 ,12 ,9860782,Dec 1 2013
All Australian Airports,2014 ,1 ,9587898,Jan 1 2014
All Australian Airports,2014 ,2 ,8420862,Feb 1 2014
All Australian Airports,2014 ,3 ,9497004,Mar 1 2014
All Australian Airports,2014 ,4 ,9521338,Apr 1 2014
All Australian Airports,2014 ,5 ,9064130,May 1 2014
All Australian Airports,2014 ,6 ,8900248,Jun 1 2014
All Australian Airports,2014 ,7 ,10002782,Jul 1 2014
All Australian Airports,2014 ,8 ,9597126,Aug 1 2014
All Australian Airports,2014 ,9 ,9616092,Sep 1 2014
All Australian Airports,2014 ,10 ,10483842,Oct 1 2014
All Australian Airports,2014 ,11 ,9539484,Nov 1 2014
All Australian Airports,2014 ,12 ,9777962,Dec 1 2014
All Australian Airports,2015 ,1 ,9266512,Jan 1 2015
All Australian Airports,2015 ,2 ,8371468,Feb 1 2015
All Australian Airports,2015 ,3 ,9589240,Mar 1 2015
