Departure,Passenger,LF,Trips,State
Adelaide,496029,72.2375,4476,SA
Albury,18094,69.1,4476,NSW
Alice Springs,10256,39.6,483,NT
Armidale,9716,64.1,156,NSW
Ayers Rock,17749,83.1,359,NT
Ballina,29405,78.5,120,NSW
Brisbane,1260123,75.92352941,138,QLD
Broome,30424,79.3,10996,WA
Cairns,158619,78.46666667,393,QLD
Canberra,170426,70.95,898,ACT
Coffs Harbour,24770,67.6,2248,NSW
Darwin,78747,83.53333333,186,NT
Dubbo,14865,68.1,527,NSW
Geraldton,8516,56.8,483,WA
Gold Coast,353548,82.55,1441,QLD
Hamilton Island,11665,61.2,2404,QLD
Hobart,175876,79.05,867,TAS
Kalgoorlie,21962,51.2,1288,WA
Karratha,36877,64,353,WA
Launceston,82256,78.2,671,TAS
Melbourne,949800,77.78,272,VIC
Newman,27533,58.9,6690,WA
Perth,153926,69.3,707,WA
Port Macquarie,15154,72.6,1086,NSW
Proserpine,8486,71.9,320,QLD
Sunshine Coast,48051,76.9,65,QLD
Sydney,41058,71.7,333,NSW
